REF_DATE,GEO,DGUID,Screened traffic,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jan-19,"Total of eight largest airports, Canada",,Total screened traffic,Number,223,units,0,v1573797666,100000.1,4412813,,,,0
Jan-19,"Total of eight largest airports, Canada",,Total passengers,Number,223,units,0,v1577191379,100000.6,4329693,,,,0
Jan-19,"Total of eight largest airports, Canada",,Domestic sector passengers,Number,223,units,0,v1573797667,100000.2,1814390,,,,0
Jan-19,"Total of eight largest airports, Canada",,Transborder sector passengers,Number,223,units,0,v1573797668,100000.3,1203255,,,,0
Jan-19,"Total of eight largest airports, Canada",,Other International sector passengers,Number,223,units,0,v1573797669,100000.4,1312048,,,,0
Jan-19,"Total of eight largest airports, Canada",,Non-passengers,Number,223,units,0,v1573797670,100000.5,83120,,,,0
Jan-19,"Halifax/Robert L Stanfield International, Nova Scotia",,Total screened traffic,Number,223,units,0,v1573797631,21.1,106232,,,,0
Jan-19,"Halifax/Robert L Stanfield International, Nova Scotia",,Total passengers,Number,223,units,0,v1577191372,21.6,102160,,,,0
Jan-19,"Halifax/Robert L Stanfield International, Nova Scotia",,Domestic sector passengers,Number,223,units,0,v1573797632,21.2,83069,,,,0
Jan-19,"Halifax/Robert L Stanfield International, Nova Scotia",,Transborder sector passengers,Number,223,units,0,v1573797633,21.3,10764,,,,0
Jan-19,"Halifax/Robert L Stanfield International, Nova Scotia",,Other International sector passengers,Number,223,units,0,v1573797634,21.4,8327,,,,0
Jan-19,"Halifax/Robert L Stanfield International, Nova Scotia",,Non-passengers,Number,223,units,0,v1573797635,21.5,4072,,,,0
Jan-19,"Montréal/Pierre Elliott Trudeau International, Quebec",,Total screened traffic,Number,223,units,0,v1573797646,87.1,691340,,,,0
Jan-19,"Montréal/Pierre Elliott Trudeau International, Quebec",,Total passengers,Number,223,units,0,v1577191375,87.6,681340,,,,0
Jan-19,"Montréal/Pierre Elliott Trudeau International, Quebec",,Domestic sector passengers,Number,223,units,0,v1573797647,87.2,193098,,,,0
Jan-19,"Montréal/Pierre Elliott Trudeau International, Quebec",,Transborder sector passengers,Number,223,units,0,v1573797648,87.3,171438,,,,0
Jan-19,"Montréal/Pierre Elliott Trudeau International, Quebec",,Other International sector passengers,Number,223,units,0,v1573797649,87.4,316804,,,,0
Jan-19,"Montréal/Pierre Elliott Trudeau International, Quebec",,Non-passengers,Number,223,units,0,v1573797650,87.5,10000,,,,0
Jan-19,"Ottawa/Macdonald-Cartier International, Ontario",,Total screened traffic,Number,223,units,0,v1573797641,76.1,206171,,,,0
Jan-19,"Ottawa/Macdonald-Cartier International, Ontario",,Total passengers,Number,223,units,0,v1577191374,76.6,200802,,,,0
Jan-19,"Ottawa/Macdonald-Cartier International, Ontario",,Domestic sector passengers,Number,223,units,0,v1573797642,76.2,132670,,,,0
Jan-19,"Ottawa/Macdonald-Cartier International, Ontario",,Transborder sector passengers,Number,223,units,0,v1573797643,76.3,34823,,,,0
Jan-19,"Ottawa/Macdonald-Cartier International, Ontario",,Other International sector passengers,Number,223,units,0,v1573797644,76.4,33309,,,,0
Jan-19,"Ottawa/Macdonald-Cartier International, Ontario",,Non-passengers,Number,223,units,0,v1573797645,76.5,5369,,,,0
Jan-19,"Toronto/Lester B Pearson International, Ontario",,Total screened traffic,Number,223,units,0,v1573797651,161.1,1608410,,,,0
Jan-19,"Toronto/Lester B Pearson International, Ontario",,Total passengers,Number,223,units,0,v1577191376,161.6,1576260,,,,0
Jan-19,"Toronto/Lester B Pearson International, Ontario",,Domestic sector passengers,Number,223,units,0,v1573797652,161.2,444497,,,,0
Jan-19,"Toronto/Lester B Pearson International, Ontario",,Transborder sector passengers,Number,223,units,0,v1573797653,161.3,515393,,,,0
Jan-19,"Toronto/Lester B Pearson International, Ontario",,Other International sector passengers,Number,223,units,0,v1573797654,161.4,616370,,,,0
Jan-19,"Toronto/Lester B Pearson International, Ontario",,Non-passengers,Number,223,units,0,v1573797655,161.5,32150,,,,0
Jan-19,"Winnipeg/James Armstrong Richardson International, Manitoba",,Total screened traffic,Number,223,units,0,v1573797656,163.1,179058,,,,0
Jan-19,"Winnipeg/James Armstrong Richardson International, Manitoba",,Total passengers,Number,223,units,0,v1577191377,163.6,176389,,,,0
Jan-19,"Winnipeg/James Armstrong Richardson International, Manitoba",,Domestic sector passengers,Number,223,units,0,v1573797657,163.2,127414,,,,0
Jan-19,"Winnipeg/James Armstrong Richardson International, Manitoba",,Transborder sector passengers,Number,223,units,0,v1573797658,163.3,23739,,,,0
Jan-19,"Winnipeg/James Armstrong Richardson International, Manitoba",,Other International sector passengers,Number,223,units,0,v1573797659,163.4,25236,,,,0
Jan-19,"Winnipeg/James Armstrong Richardson International, Manitoba",,Non-passengers,Number,223,units,0,v1573797660,163.5,2669,,,,0
Jan-19,"Calgary International, Alberta",,Total screened traffic,Number,223,units,0,v1573797626,13.1,499917,,,,0
Jan-19,"Calgary International, Alberta",,Total passengers,Number,223,units,0,v1577191371,13.6,493249,,,,0
Jan-19,"Calgary International, Alberta",,Domestic sector passengers,Number,223,units,0,v1573797627,13.2,287863,,,,0
Jan-19,"Calgary International, Alberta",,Transborder sector passengers,Number,223,units,0,v1573797628,13.3,139444,,,,0
Jan-19,"Calgary International, Alberta",,Other International sector passengers,Number,223,units,0,v1573797629,13.4,65942,,,,0
Jan-19,"Calgary International, Alberta",,Non-passengers,Number,223,units,0,v1573797630,13.5,6668,,,,0
Jan-19,"Edmonton International, Alberta",,Total screened traffic,Number,223,units,0,v1573797636,52.1,289016,,,,0
Jan-19,"Edmonton International, Alberta",,Total passengers,Number,223,units,0,v1577191373,52.6,281580,,,,0
Jan-19,"Edmonton International, Alberta",,Domestic sector passengers,Number,223,units,0,v1573797637,52.2,203517,,,,0
Jan-19,"Edmonton International, Alberta",,Transborder sector passengers,Number,223,units,0,v1573797638,52.3,48871,,,,0
Jan-19,"Edmonton International, Alberta",,Other International sector passengers,Number,223,units,0,v1573797639,52.4,29192,,,,0
Jan-19,"Edmonton International, Alberta",,Non-passengers,Number,223,units,0,v1573797640,52.5,7436,,,,0
Jan-19,"Vancouver International, British Columbia",,Total screened traffic,Number,223,units,0,v1573797661,169.1,832669,,,,0
Jan-19,"Vancouver International, British Columbia",,Total passengers,Number,223,units,0,v1577191378,169.6,817913,,,,0
Jan-19,"Vancouver International, British Columbia",,Domestic sector passengers,Number,223,units,0,v1573797662,169.2,342262,,,,0
Jan-19,"Vancouver International, British Columbia",,Transborder sector passengers,Number,223,units,0,v1573797663,169.3,258783,,,,0
Jan-19,"Vancouver International, British Columbia",,Other International sector passengers,Number,223,units,0,v1573797664,169.4,216868,,,,0
Jan-19,"Vancouver International, British Columbia",,Non-passengers,Number,223,units,0,v1573797665,169.5,14756,,,,0
Feb-19,"Total of eight largest airports, Canada",,Total screened traffic,Number,223,units,0,v1573797666,100000.1,4161705,,,,0
Feb-19,"Total of eight largest airports, Canada",,Total passengers,Number,223,units,0,v1577191379,100000.6,4102158,,,,0
Feb-19,"Total of eight largest airports, Canada",,Domestic sector passengers,Number,223,units,0,v1573797667,100000.2,1706627,,,,0
Feb-19,"Total of eight largest airports, Canada",,Transborder sector passengers,Number,223,units,0,v1573797668,100000.3,1192819,,,,0
Feb-19,"Total of eight largest airports, Canada",,Other International sector passengers,Number,223,units,0,v1573797669,100000.4,1202712,,,,0
Feb-19,"Total of eight largest airports, Canada",,Non-passengers,Number,223,units,0,v1573797670,100000.5,59547,,,,0
Feb-19,"Halifax/Robert L Stanfield International, Nova Scotia",,Total screened traffic,Number,223,units,0,v1573797631,21.1,113150,,,,0
Feb-19,"Halifax/Robert L Stanfield International, Nova Scotia",,Total passengers,Number,223,units,0,v1577191372,21.6,109341,,,,0
Feb-19,"Halifax/Robert L Stanfield International, Nova Scotia",,Domestic sector passengers,Number,223,units,0,v1573797632,21.2,78720,,,,0
Feb-19,"Halifax/Robert L Stanfield International, Nova Scotia",,Transborder sector passengers,Number,223,units,0,v1573797633,21.3,14306,,,,0
Feb-19,"Halifax/Robert L Stanfield International, Nova Scotia",,Other International sector passengers,Number,223,units,0,v1573797634,21.4,16315,,,,0
Feb-19,"Halifax/Robert L Stanfield International, Nova Scotia",,Non-passengers,Number,223,units,0,v1573797635,21.5,3809,,,,0
Feb-19,"Montréal/Pierre Elliott Trudeau International, Quebec",,Total screened traffic,Number,223,units,0,v1573797646,87.1,657934,,,,0
Feb-19,"Montréal/Pierre Elliott Trudeau International, Quebec",,Total passengers,Number,223,units,0,v1577191375,87.6,651064,,,,0
Feb-19,"Montréal/Pierre Elliott Trudeau International, Quebec",,Domestic sector passengers,Number,223,units,0,v1573797647,87.2,190415,,,,0
Feb-19,"Montréal/Pierre Elliott Trudeau International, Quebec",,Transborder sector passengers,Number,223,units,0,v1573797648,87.3,173893,,,,0
Feb-19,"Montréal/Pierre Elliott Trudeau International, Quebec",,Other International sector passengers,Number,223,units,0,v1573797649,87.4,286756,,,,0
Feb-19,"Montréal/Pierre Elliott Trudeau International, Quebec",,Non-passengers,Number,223,units,0,v1573797650,87.5,6870,,,,0
Feb-19,"Ottawa/Macdonald-Cartier International, Ontario",,Total screened traffic,Number,223,units,0,v1573797641,76.1,204093,,,,0
Feb-19,"Ottawa/Macdonald-Cartier International, Ontario",,Total passengers,Number,223,units,0,v1577191374,76.6,199974,,,,0
Feb-19,"Ottawa/Macdonald-Cartier International, Ontario",,Domestic sector passengers,Number,223,units,0,v1573797642,76.2,134319,,,,0
Feb-19,"Ottawa/Macdonald-Cartier International, Ontario",,Transborder sector passengers,Number,223,units,0,v1573797643,76.3,34856,,,,0
Feb-19,"Ottawa/Macdonald-Cartier International, Ontario",,Other International sector passengers,Number,223,units,0,v1573797644,76.4,30799,,,,0
Feb-19,"Ottawa/Macdonald-Cartier International, Ontario",,Non-passengers,Number,223,units,0,v1573797645,76.5,4119,,,,0
Feb-19,"Toronto/Lester B Pearson International, Ontario",,Total screened traffic,Number,223,units,0,v1573797651,161.1,1534871,,,,0
Feb-19,"Toronto/Lester B Pearson International, Ontario",,Total passengers,Number,223,units,0,v1577191376,161.6,1513711,,,,0
Feb-19,"Toronto/Lester B Pearson International, Ontario",,Domestic sector passengers,Number,223,units,0,v1573797652,161.2,422509,,,,0
Feb-19,"Toronto/Lester B Pearson International, Ontario",,Transborder sector passengers,Number,223,units,0,v1573797653,161.3,525196,,,,0
Feb-19,"Toronto/Lester B Pearson International, Ontario",,Other International sector passengers,Number,223,units,0,v1573797654,161.4,566006,,,,0
Feb-19,"Toronto/Lester B Pearson International, Ontario",,Non-passengers,Number,223,units,0,v1573797655,161.5,21160,,,,0
Feb-19,"Winnipeg/James Armstrong Richardson International, Manitoba",,Total screened traffic,Number,223,units,0,v1573797656,163.1,165360,,,,0
Feb-19,"Winnipeg/James Armstrong Richardson International, Manitoba",,Total passengers,Number,223,units,0,v1577191377,163.6,163869,,,,0
Feb-19,"Winnipeg/James Armstrong Richardson International, Manitoba",,Domestic sector passengers,Number,223,units,0,v1573797657,163.2,116544,,,,0
Feb-19,"Winnipeg/James Armstrong Richardson International, Manitoba",,Transborder sector passengers,Number,223,units,0,v1573797658,163.3,23630,,,,0
Feb-19,"Winnipeg/James Armstrong Richardson International, Manitoba",,Other International sector passengers,Number,223,units,0,v1573797659,163.4,23695,,,,0
Feb-19,"Winnipeg/James Armstrong Richardson International, Manitoba",,Non-passengers,Number,223,units,0,v1573797660,163.5,1491,,,,0
Feb-19,"Calgary International, Alberta",,Total screened traffic,Number,223,units,0,v1573797626,13.1,470014,,,,0
Feb-19,"Calgary International, Alberta",,Total passengers,Number,223,units,0,v1577191371,13.6,464983,,,,0
Feb-19,"Calgary International, Alberta",,Domestic sector passengers,Number,223,units,0,v1573797627,13.2,268004,,,,0
Feb-19,"Calgary International, Alberta",,Transborder sector passengers,Number,223,units,0,v1573797628,13.3,135687,,,,0
Feb-19,"Calgary International, Alberta",,Other International sector passengers,Number,223,units,0,v1573797629,13.4,61292,,,,0
Feb-19,"Calgary International, Alberta",,Non-passengers,Number,223,units,0,v1573797630,13.5,5031,,,,0
Feb-19,"Edmonton International, Alberta",,Total screened traffic,Number,223,units,0,v1573797636,52.1,274005,,,,0
Feb-19,"Edmonton International, Alberta",,Total passengers,Number,223,units,0,v1577191373,52.6,267890,,,,0
Feb-19,"Edmonton International, Alberta",,Domestic sector passengers,Number,223,units,0,v1573797637,52.2,189567,,,,0
Feb-19,"Edmonton International, Alberta",,Transborder sector passengers,Number,223,units,0,v1573797638,52.3,51479,,,,0
Feb-19,"Edmonton International, Alberta",,Other International sector passengers,Number,223,units,0,v1573797639,52.4,26844,,,,0
Feb-19,"Edmonton International, Alberta",,Non-passengers,Number,223,units,0,v1573797640,52.5,6115,,,,0
Feb-19,"Vancouver International, British Columbia",,Total screened traffic,Number,223,units,0,v1573797661,169.1,742278,,,,0
Feb-19,"Vancouver International, British Columbia",,Total passengers,Number,223,units,0,v1577191378,169.6,731326,,,,0
Feb-19,"Vancouver International, British Columbia",,Domestic sector passengers,Number,223,units,0,v1573797662,169.2,306549,,,,0
Feb-19,"Vancouver International, British Columbia",,Transborder sector passengers,Number,223,units,0,v1573797663,169.3,233772,,,,0
Feb-19,"Vancouver International, British Columbia",,Other International sector passengers,Number,223,units,0,v1573797664,169.4,191005,,,,0
Feb-19,"Vancouver International, British Columbia",,Non-passengers,Number,223,units,0,v1573797665,169.5,10952,,,,0
Mar-19,"Total of eight largest airports, Canada",,Total screened traffic,Number,223,units,0,v1573797666,100000.1,4698908,,,,0
Mar-19,"Total of eight largest airports, Canada",,Total passengers,Number,223,units,0,v1577191379,100000.6,4635312,,,,0
Mar-19,"Total of eight largest airports, Canada",,Domestic sector passengers,Number,223,units,0,v1573797667,100000.2,1920738,,,,0
Mar-19,"Total of eight largest airports, Canada",,Transborder sector passengers,Number,223,units,0,v1573797668,100000.3,1394862,,,,0
Mar-19,"Total of eight largest airports, Canada",,Other International sector passengers,Number,223,units,0,v1573797669,100000.4,1319712,,,,0
Mar-19,"Total of eight largest airports, Canada",,Non-passengers,Number,223,units,0,v1573797670,100000.5,63596,,,,0
Mar-19,"Halifax/Robert L Stanfield International, Nova Scotia",,Total screened traffic,Number,223,units,0,v1573797631,21.1,138912,,,,0
Mar-19,"Halifax/Robert L Stanfield International, Nova Scotia",,Total passengers,Number,223,units,0,v1577191372,21.6,135659,,,,0
Mar-19,"Halifax/Robert L Stanfield International, Nova Scotia",,Domestic sector passengers,Number,223,units,0,v1573797632,21.2,91509,,,,0
Mar-19,"Halifax/Robert L Stanfield International, Nova Scotia",,Transborder sector passengers,Number,223,units,0,v1573797633,21.3,20014,,,,0
Mar-19,"Halifax/Robert L Stanfield International, Nova Scotia",,Other International sector passengers,Number,223,units,0,v1573797634,21.4,24136,,,,0
Mar-19,"Halifax/Robert L Stanfield International, Nova Scotia",,Non-passengers,Number,223,units,0,v1573797635,21.5,3253,,,,0
Mar-19,"Montréal/Pierre Elliott Trudeau International, Quebec",,Total screened traffic,Number,223,units,0,v1573797646,87.1,734168,,,,0
Mar-19,"Montréal/Pierre Elliott Trudeau International, Quebec",,Total passengers,Number,223,units,0,v1577191375,87.6,727898,,,,0
Mar-19,"Montréal/Pierre Elliott Trudeau International, Quebec",,Domestic sector passengers,Number,223,units,0,v1573797647,87.2,206597,,,,0
Mar-19,"Montréal/Pierre Elliott Trudeau International, Quebec",,Transborder sector passengers,Number,223,units,0,v1573797648,87.3,203898,,,,0
Mar-19,"Montréal/Pierre Elliott Trudeau International, Quebec",,Other International sector passengers,Number,223,units,0,v1573797649,87.4,317403,,,,0
Mar-19,"Montréal/Pierre Elliott Trudeau International, Quebec",,Non-passengers,Number,223,units,0,v1573797650,87.5,6270,,,,0
Mar-19,"Ottawa/Macdonald-Cartier International, Ontario",,Total screened traffic,Number,223,units,0,v1573797641,76.1,220427,,,,0
Mar-19,"Ottawa/Macdonald-Cartier International, Ontario",,Total passengers,Number,223,units,0,v1577191374,76.6,215943,,,,0
Mar-19,"Ottawa/Macdonald-Cartier International, Ontario",,Domestic sector passengers,Number,223,units,0,v1573797642,76.2,145448,,,,0
Mar-19,"Ottawa/Macdonald-Cartier International, Ontario",,Transborder sector passengers,Number,223,units,0,v1573797643,76.3,38834,,,,0
Mar-19,"Ottawa/Macdonald-Cartier International, Ontario",,Other International sector passengers,Number,223,units,0,v1573797644,76.4,31661,,,,0
Mar-19,"Ottawa/Macdonald-Cartier International, Ontario",,Non-passengers,Number,223,units,0,v1573797645,76.5,4484,,,,0
Mar-19,"Toronto/Lester B Pearson International, Ontario",,Total screened traffic,Number,223,units,0,v1573797651,161.1,1697451,,,,0
Mar-19,"Toronto/Lester B Pearson International, Ontario",,Total passengers,Number,223,units,0,v1577191376,161.6,1672253,,,,0
Mar-19,"Toronto/Lester B Pearson International, Ontario",,Domestic sector passengers,Number,223,units,0,v1573797652,161.2,465245,,,,0
Mar-19,"Toronto/Lester B Pearson International, Ontario",,Transborder sector passengers,Number,223,units,0,v1573797653,161.3,607476,,,,0
Mar-19,"Toronto/Lester B Pearson International, Ontario",,Other International sector passengers,Number,223,units,0,v1573797654,161.4,599532,,,,0
Mar-19,"Toronto/Lester B Pearson International, Ontario",,Non-passengers,Number,223,units,0,v1573797655,161.5,25198,,,,0
Mar-19,"Winnipeg/James Armstrong Richardson International, Manitoba",,Total screened traffic,Number,223,units,0,v1573797656,163.1,180270,,,,0
Mar-19,"Winnipeg/James Armstrong Richardson International, Manitoba",,Total passengers,Number,223,units,0,v1577191377,163.6,178495,,,,0
Mar-19,"Winnipeg/James Armstrong Richardson International, Manitoba",,Domestic sector passengers,Number,223,units,0,v1573797657,163.2,129955,,,,0
Mar-19,"Winnipeg/James Armstrong Richardson International, Manitoba",,Transborder sector passengers,Number,223,units,0,v1573797658,163.3,26107,,,,0
